month,channel,week,timeofday,videos
201805,CH1,1,afternoon,have
201805,CH1,1,evening,have
201805,CH1,1,morning,have
201805,CH1,2,afternoon,have
201805,CH1,2,evening,have
201805,CH1,2,morning,have
201805,CH1,3,afternoon,have
201805,CH1,3,evening,have
201805,CH1,3,morning,have
201805,CH1,4,afternoon,have
201805,CH1,4,evening,have
201805,CH1,4,morning,have
201805,CH2,1,afternoon,have
201805,CH2,1,evening,have
201805,CH2,1,morning,have
201805,CH2,2,afternoon,have
201805,CH2,2,evening,have
201805,CH2,2,morning,have
201805,CH2,3,afternoon,have
201805,CH2,3,evening,have
201805,CH2,3,morning,have
201805,CH2,4,afternoon,have
201805,CH2,4,evening,have
201805,CH2,4,morning,have
201806,CH1,1,afternoon,have
201806,CH1,1,evening,have
201806,CH1,1,morning,have
201806,CH1,2,afternoon,have
201806,CH1,2,evening,have
201806,CH1,2,morning,have
201806,CH1,3,afternoon,have
201806,CH1,3,evening,have
201806,CH1,3,morning,have
201806,CH1,4,afternoon,have
201806,CH1,4,evening,have
201806,CH1,4,morning,have
201806,CH2,1,afternoon,have
201806,CH2,1,evening,have
201806,CH2,1,morning,have
201806,CH2,2,afternoon,have
201806,CH2,2,evening,have
201806,CH2,2,morning,have
201806,CH2,3,afternoon,have
201806,CH2,3,evening,have
201806,CH2,3,morning,have
201806,CH2,4,afternoon,have
201806,CH2,4,evening,have
201806,CH2,4,morning,have
201807,CH1,1,afternoon,have
201807,CH1,1,evening,have
201807,CH1,1,morning,have
201807,CH1,2,afternoon,have
201807,CH1,2,evening,have
201807,CH1,2,morning,have
201807,CH1,3,afternoon,have
201807,CH1,3,evening,have
201807,CH1,3,morning,have
201807,CH1,4,afternoon,have
201807,CH1,4,evening,have
201807,CH1,4,morning,have
201807,CH2,1,afternoon,have
201807,CH2,1,evening,have
201807,CH2,1,morning,have
201807,CH2,2,afternoon,have
201807,CH2,2,evening,have
201807,CH2,2,morning,have
201807,CH2,3,afternoon,have
201807,CH2,3,evening,have
201807,CH2,3,morning,have
201807,CH2,4,afternoon,have
201807,CH2,4,evening,have
201807,CH2,4,morning,have
201808,CH1,1,afternoon,have
201808,CH1,1,evening,have
201808,CH1,1,morning,have
201808,CH1,2,afternoon,have
201808,CH1,2,evening,have
201808,CH1,2,morning,have
201808,CH1,3,afternoon,have
201808,CH1,3,evening,have
201808,CH1,3,morning,have
201808,CH1,4,afternoon,have
201808,CH1,4,evening,have
201808,CH1,4,morning,have
201808,CH2,1,afternoon,have
201808,CH2,1,evening,have
201808,CH2,1,morning,have
201808,CH2,2,afternoon,have
201808,CH2,2,evening,have
201808,CH2,2,morning,have
201808,CH2,3,afternoon,have
201808,CH2,3,evening,have
201808,CH2,3,morning,have
201808,CH2,4,afternoon,have
201808,CH2,4,evening,have
201808,CH2,4,morning,have
201809,CH1,1,afternoon,have
201809,CH1,1,evening,have
201809,CH1,1,morning,have
201809,CH1,2,afternoon,have
201809,CH1,2,evening,have
