month,channel,week,timeofday,videos,filename,numofworkers
201805,CH1,1,afternoon,1,12,16
201805,CH1,1,evening,1,12,53
201805,CH1,1,morning,1,,
201805,CH1,2,afternoon,1,12,105
201805,CH1,2,evening,1,12,62
201805,CH1,2,morning,1,12,81
201805,CH1,3,afternoon,1,12,37
201805,CH1,3,evening,1,12,79
201805,CH1,3,morning,1,12,111
201805,CH1,4,afternoon,1,12,65
201805,CH1,4,evening,1,12,147
201805,CH1,4,morning,1,12,94
201805,CH2,1,afternoon,1,12,115
201805,CH2,1,evening,1,12,101
201805,CH2,1,morning,1,12,64
201805,CH2,2,afternoon,1,,
201805,CH2,2,evening,1,12,78
201805,CH2,2,morning,1,12,58
201805,CH2,3,afternoon,1,,
201805,CH2,3,evening,1,12,81
201805,CH2,3,morning,1,12,96
201805,CH2,4,afternoon,1,12,170
201805,CH2,4,evening,1,12,204
201805,CH2,4,morning,1,12,245
201806,CH1,1,afternoon,1,12,44
201806,CH1,1,evening,1,12,27
201806,CH1,1,morning,1,12,107
201806,CH1,2,afternoon,1,12,89
201806,CH1,2,evening,1,12,80
201806,CH1,2,morning,1,12,93
201806,CH1,3,afternoon,1,,
201806,CH1,3,evening,1,12,35
201806,CH1,3,morning,1,12,47
201806,CH1,4,afternoon,1,12,27
201806,CH1,4,evening,1,12,72
201806,CH1,4,morning,1,12,31
201806,CH2,1,afternoon,1,12,54
201806,CH2,1,evening,1,12,41
201806,CH2,1,morning,1,12,26
201806,CH2,2,afternoon,1,12,102
201806,CH2,2,evening,1,12,60
201806,CH2,2,morning,1,12,77
201806,CH2,3,afternoon,1,,
201806,CH2,3,evening,1,12,52
201806,CH2,3,morning,1,12,41
201806,CH2,4,afternoon,1,12,95
201806,CH2,4,evening,1,12,67
201806,CH2,4,morning,1,12,51
201807,CH1,1,afternoon,1,12,16
201807,CH1,1,evening,1,12,63
201807,CH1,1,morning,1,12,36
201807,CH1,2,afternoon,1,12,68
201807,CH1,2,evening,1,12,62
201807,CH1,2,morning,1,12,27
201807,CH1,3,afternoon,1,12,60
201807,CH1,3,evening,1,12,83
201807,CH1,3,morning,1,12,26
201807,CH1,4,afternoon,1,12,84
201807,CH1,4,evening,1,12,84
201807,CH1,4,morning,1,12,39
201807,CH2,1,afternoon,1,12,30
201807,CH2,1,evening,1,12,64
201807,CH2,1,morning,1,12,97
201807,CH2,2,afternoon,1,12,76
201807,CH2,2,evening,1,12,120
201807,CH2,2,morning,1,12,36
201807,CH2,3,afternoon,1,12,161
201807,CH2,3,evening,1,12,145
201807,CH2,3,morning,1,12,24
201807,CH2,4,afternoon,1,12,149
201807,CH2,4,evening,1,12,90
201807,CH2,4,morning,1,12,41
201808,CH1,1,afternoon,1,12,23
201808,CH1,1,evening,1,12,40
201808,CH1,1,morning,1,12,25
201808,CH1,2,afternoon,1,12,19
201808,CH1,2,evening,1,12,8
201808,CH1,2,morning,1,12,45
201808,CH1,3,afternoon,1,12,54
201808,CH1,3,evening,1,,
201808,CH1,3,morning,1,12,39
201808,CH1,4,afternoon,1,12,26
201808,CH1,4,evening,1,12,44
201808,CH1,4,morning,1,12,28
201808,CH2,1,afternoon,1,12,52
201808,CH2,1,evening,1,12,29
201808,CH2,1,morning,1,12,48
201808,CH2,2,afternoon,1,12,5
201808,CH2,2,evening,1,,
201808,CH2,2,morning,1,12,15
201808,CH2,3,afternoon,1,12,53
201808,CH2,3,evening,1,12,38
201808,CH2,3,morning,1,12,37
201808,CH2,4,afternoon,1,12,28
201808,CH2,4,evening,1,12,49
201808,CH2,4,morning,1,12,16
201809,CH1,1,afternoon,1,12,105
201809,CH1,1,evening,1,12,124
201809,CH1,1,morning,1,12,159
201809,CH1,2,afternoon,1,12,86
201809,CH1,2,evening,1,12,153
201809,CH1,2,morning,1,12,44
201809,CH1,3,afternoon,1,,
201809,CH1,3,evening,1,,
201809,CH1,3,morning,1,12,59
201809,CH1,4,afternoon,1,12,31
201809,CH1,4,evening,1,12,71
201809,CH1,4,morning,1,12,69
201810,CH1,1,afternoon,1,12,108
201810,CH1,1,evening,1,12,30
201810,CH1,1,morning,1,12,96
201810,CH1,2,afternoon,1,12,41
201810,CH1,2,evening,1,12,6
201810,CH1,2,morning,1,12,37
201810,CH1,3,afternoon,1,12,39
201810,CH1,3,evening,1,12,81
201810,CH1,3,morning,1,12,25
201810,CH1,4,afternoon,1,,
201810,CH1,4,evening,1,12,18
201810,CH1,4,morning,1,12,37
201810,CH2,1,afternoon,1,12,9
201810,CH2,1,evening,1,12,35
201810,CH2,1,morning,1,12,59
201810,CH2,2,afternoon,1,12,115
201810,CH2,2,evening,1,12,102
201810,CH2,2,morning,1,12,47
201810,CH2,3,afternoon,1,12,37
201810,CH2,3,evening,1,12,29
201810,CH2,3,morning,1,12,9
201810,CH2,4,afternoon,1,,
201810,CH2,4,evening,1,12,4
201810,CH2,4,morning,1,12,62
201811,CH1,1,afternoon,1,12,32
201811,CH1,1,evening,1,12,56
201811,CH1,1,morning,1,12,31
201811,CH1,2,afternoon,1,12,129
201811,CH1,2,evening,1,12,53
201811,CH1,2,morning,1,12,37
201811,CH1,3,afternoon,1,,
201811,CH1,3,evening,1,,
201811,CH1,3,morning,1,12,51
201811,CH1,4,afternoon,1,,
201811,CH1,4,evening,1,,
201811,CH1,4,morning,1,,
201811,CH2,1,afternoon,1,12,83
201811,CH2,1,evening,1,12,126
201811,CH2,1,morning,1,12,94
201811,CH2,2,afternoon,1,12,54
201811,CH2,2,evening,1,12,21
201811,CH2,2,morning,1,12,19
201811,CH2,3,afternoon,1,12,37
201811,CH2,3,evening,1,12,58
201811,CH2,3,morning,1,12,8
201811,CH2,4,afternoon,1,,
201811,CH2,4,evening,1,,
201811,CH2,4,morning,1,12,39
201812,CH1,1,afternoon,1,12,18
201812,CH1,1,evening,1,,
201812,CH1,1,morning,1,12,31
201812,CH1,2,afternoon,1,,
201812,CH1,2,evening,1,,
201812,CH1,2,morning,1,12,39
201812,CH1,3,afternoon,1,,
201812,CH1,3,evening,1,12,14
201812,CH1,3,morning,1,,
201812,CH1,4,afternoon,1,,
201812,CH1,4,evening,1,,
201812,CH1,4,morning,1,,
201812,CH2,1,afternoon,1,12,22
201812,CH2,1,evening,1,12,10
201812,CH2,1,morning,1,12,14
201812,CH2,2,afternoon,1,,
201812,CH2,2,evening,1,12,24
201812,CH2,2,morning,1,,
201812,CH2,3,afternoon,1,,
201812,CH2,3,evening,1,,
201812,CH2,3,morning,1,,
201812,CH2,4,afternoon,1,,
201812,CH2,4,evening,1,,
201812,CH2,4,morning,1,,
201812,CH9,1,afternoon,1,12,70
201812,CH9,1,evening,1,12,53
201812,CH9,1,morning,1,12,32
201812,CH9,2,afternoon,1,12,51
201812,CH9,2,evening,1,12,41
201812,CH9,2,morning,1,12,25
201812,CH9,3,afternoon,1,,
201812,CH9,3,evening,1,12,16
201812,CH9,3,morning,1,12,32
201812,CH9,4,afternoon,1,,
201812,CH9,4,evening,1,,
201812,CH9,4,morning,1,,
